food_name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,unit_type,avg_weight
Dal Tadka,79.57,4.71,28.71,28.38,7.41,gram,100
Rice,146.85,14.61,45.07,22.91,1.01,gram,100
Grapes,157.81,8.28,16.05,7.05,6.41,gram,100
Watermelon,340.21,22.13,56.29,20.21,4.1,gram,100
Paneer,48.93,7.51,25.5,6.93,7.4,gram,100
Almonds,193.31,14.07,24.24,29.2,9.59,gram,100
Poha,88.68,16.59,27.68,27.51,0.69,gram,100
Poha,141.35,21.33,21.05,2.15,9.0,gram,100
Salad,369.81,4.46,53.21,8.57,9.2,gram,100
Orange,107.22,17.08,40.51,0.69,4.02,gram,100
Paneer,232.77,11.47,59.45,27.68,9.78,gram,100
Tomato,235.63,7.71,23.23,11.29,3.04,gram,100
Chicken Breast,182.4,29.36,8.36,26.78,4.13,gram,100
Paratha,120.31,29.13,25.42,22.67,8.34,piece,52
Rajma,87.7,7.4,57.36,4.53,6.45,gram,100
Onion,175.82,12.5,17.44,17.43,5.97,gram,100
Spinach,299.24,5.41,24.19,0.92,1.41,gram,100
Poha,374.21,21.45,51.63,2.12,2.77,gram,100
Papaya,239.21,1.23,27.11,16.7,1.06,gram,100
Egg,102.43,29.31,15.07,10.65,3.77,piece,49
Apple,284.55,3.26,16.22,7.91,8.57,piece,31
Almonds,263.54,5.64,41.69,7.82,0.44,gram,100
Cabbage,247.76,8.85,48.22,23.18,8.45,gram,100
Cauliflower,276.74,27.67,35.98,2.49,4.05,gram,100
Paneer,331.01,22.29,19.93,6.97,7.03,gram,100
Cornflakes,270.5,25.66,47.21,24.63,5.93,gram,100
Mango,121.13,27.84,53.66,24.69,6.69,gram,100
Bread,149.19,8.45,4.68,3.79,8.72,gram,100
Vegetable Curry,333.92,10.89,27.38,12.88,4.28,gram,100
Banana,235.44,4.0,33.65,25.58,2.92,piece,116
Rajma,164.52,26.9,57.43,2.97,0.73,gram,100
Chicken Breast,374.26,7.53,59.91,7.13,4.19,gram,100
Walnuts,152.04,5.95,51.58,14.57,7.86,gram,100
Butter,372.61,20.66,9.3,16.92,4.42,gram,100
Orange,185.03,13.23,58.39,9.93,9.85,gram,100
Butter,97.59,23.61,2.87,23.2,0.99,gram,100
Protein Shake,110.78,23.22,18.78,11.1,2.68,gram,100
Egg,397.83,29.39,9.35,9.07,9.75,piece,84
Poha,397.51,18.53,56.71,26.61,4.49,gram,100
Banana,251.39,22.14,0.06,12.35,9.79,piece,34
Sambar,65.58,6.26,10.05,1.3,4.21,gram,100
Carrot,82.66,25.93,40.73,3.2,1.71,gram,100
Onion,223.3,2.54,51.64,23.05,9.32,gram,100
Banana,99.74,15.0,51.37,29.82,5.27,piece,48
Upma,179.43,14.77,0.01,28.79,7.28,gram,100
Paneer Butter Masala,206.57,7.24,33.06,9.47,7.96,gram,100
Cornflakes,134.49,17.33,58.91,8.95,1.63,gram,100
Poha,115.55,13.43,50.15,0.95,2.55,gram,100
Onion,244.39,21.8,9.45,28.74,0.08,gram,100
Greek Yogurt,291.76,29.9,33.44,27.65,3.94,gram,100
Cauliflower,147.57,19.42,13.47,0.25,4.24,gram,100
Rice,119.31,0.3,21.11,2.46,2.33,gram,100
Banana,359.39,12.44,14.43,25.11,6.94,piece,65
Chicken Curry,235.47,21.52,6.13,24.19,5.91,gram,100
Dal Tadka,312.14,16.17,37.8,4.73,6.08,gram,100
Broccoli,113.87,18.29,30.59,29.84,1.09,gram,100
Cashews,204.95,17.76,46.26,0.64,6.66,gram,100
Rice,245.33,6.12,26.71,19.87,1.03,gram,100
Tomato,77.81,26.31,48.94,1.49,2.74,gram,100
Potato,376.31,24.65,28.32,3.01,6.05,gram,100
Milk,77.2,4.49,28.79,7.64,1.36,gram,100
Cabbage,340.13,23.97,6.11,14.23,7.09,gram,100
Onion,308.28,27.55,2.02,26.02,5.54,gram,100
Grapes,152.18,9.92,47.82,20.24,4.46,gram,100
Rice,97.77,9.89,39.96,7.08,2.74,gram,100
Mango,238.13,28.51,24.62,13.4,1.25,gram,100
Curd,392.98,21.01,28.16,27.27,7.82,gram,100
Greek Yogurt,331.29,25.33,56.01,27.16,3.8,gram,100
Chapati,226.33,26.98,26.37,15.23,1.21,piece,47
Milk,94.34,27.19,4.99,16.73,6.62,gram,100
Chapati,214.37,22.86,4.2,29.95,4.85,piece,41
Mango,303.47,24.5,1.39,15.39,8.2,gram,100
Idli,387.76,12.75,15.2,2.25,7.62,piece,98
Almonds,265.47,13.82,8.55,14.19,9.54,gram,100
Sambar,216.59,4.75,21.25,18.72,2.31,gram,100
Biryani,196.02,5.45,14.75,12.03,2.58,gram,100
Walnuts,156.29,6.05,44.51,20.32,6.49,gram,100
Dal Tadka,330.7,21.51,43.56,2.76,2.63,gram,100
Orange,304.65,11.38,54.35,14.88,0.93,gram,100
Mango,311.93,16.17,35.78,7.39,1.15,gram,100
Carrot,309.67,11.85,46.7,10.33,8.51,gram,100
Peanuts,89.08,25.16,47.74,3.55,8.66,gram,100
Salad,72.59,7.24,55.05,22.0,7.47,gram,100
Cauliflower,246.56,26.59,40.7,16.12,1.58,gram,100
Papaya,130.87,11.6,30.46,12.37,4.31,gram,100
Apple,58.4,0.82,49.15,16.03,9.0,piece,93
Grapes,123.41,16.12,8.19,25.38,6.13,gram,100
Curd,110.12,25.22,18.37,0.41,7.49,gram,100
Paratha,94.15,21.64,27.37,29.66,6.06,piece,95
Bread,243.85,6.8,27.39,25.1,7.53,gram,100
